Research and development expenditure (% of GDP)
HDI Rank (2017),"Country","1996","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015",""
85,"Algeria","..","..","..","..","0.1","..","..","..","..","..","..","..","..","..","..","..","..",".."
47,"Argentina","0.4","..","0.4","..","0.4","..","0.6","..","0.6","..","0.6","..","0.6","..","0.6","..","..",".."
83,"Armenia","..","..","0.2","..","0.3","..","0.2","..","0.3","..","0.2","..","0.2","..","0.2","..","0.3",".."
3,"Australia","1.7","..","1.6","..","..","..","2.4","..","2.2","..","..","..","2.2","..","..","..","..",".."
20,"Austria","1.6","..","1.9","..","2.4","..","2.7","..","2.7","..","2.9","..","3.0","..","3.1","..","3.1",".."
80,"Azerbaijan","0.2","..","0.3","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2",".."
43,"Bahrain","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.1","..","..",".."
53,"Belarus","1.0","..","0.7","..","0.7","..","0.7","..","0.7","..","0.7","..","0.7","..","0.5","..","0.5",".."
17,"Belgium","1.7","..","1.9","..","1.8","..","2.1","..","2.2","..","2.4","..","2.4","..","2.5","..","2.5",".."
118,"Bolivia (Plurinational State of)","0.3","..","0.3","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
77,"Bosnia and Herzegovina","..","..","..","..","0.0","..","..","..","..","..","0.3","..","0.3","..","0.3","..","0.2",".."
101,"Botswana","..","..","..","..","0.5","..","..","..","..","..","0.3","..","0.5","..","..","..","..",".."
79,"Brazil","..","..","1.0","..","1.0","..","1.2","..","1.1","..","1.1","..","1.2","..","1.2","..","..",".."
51,"Bulgaria","0.5","..","0.5","..","0.4","..","0.6","..","0.5","..","0.6","..","0.6","..","0.8","..","1.0",".."
183,"Burkina Faso","0.2","..","..","..","0.2","..","..","..","..","..","..","..","..","..","..","..","..",".."
185,"Burundi","..","..","..","..","..","..","0.1","..","0.1","..","..","..","..","..","..","..","..",".."
125,"Cabo Verde","..","..","..","..","..","..","..","..","0.1","..","..","..","..","..","..","..","..",".."
146,"Cambodia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.1",".."
12,"Canada","1.6","..","1.9","..","2.0","..","1.8","..","1.8","..","1.8","..","1.7","..","1.6","..","..",".."
44,"Chile","..","..","..","..","..","..","0.3","..","0.4","..","0.4","..","0.4","..","0.4","..","0.4",".."
86,"China","0.6","..","0.9","..","1.3","..","1.7","..","1.8","..","1.9","..","2.0","..","2.0","..","2.1",".."
90,"Colombia","0.3","..","0.1","..","0.1","..","0.2","..","0.2","..","0.2","..","0.3","..","0.3","..","0.2",".."
176,"Congo (Democratic Republic of the)","..","..","..","..","0.1","..","..","..","..","..","..","..","..","..","..","..","..",".."
63,"Costa Rica","0.3","..","0.4","..","..","..","0.5","..","0.5","..","0.6","..","0.6","..","0.6","..","..",".."
46,"Croatia","..","..","1.0","..","0.9","..","0.7","..","0.8","..","0.8","..","0.8","..","0.8","..","0.9",".."
73,"Cuba","0.3","..","0.5","..","0.5","..","0.6","..","0.3","..","0.4","..","0.5","..","0.4","..","0.4",".."
32,"Cyprus","..","..","0.2","..","0.4","..","0.4","..","0.5","..","0.4","..","0.5","..","0.5","..","0.5",".."
27,"Czechia","0.9","..","1.1","..","1.2","..","1.3","..","1.6","..","1.8","..","1.9","..","2.0","..","1.9",".."
11,"Denmark","1.8","..","..","..","2.4","..","2.9","..","3.0","..","3.0","..","3.0","..","3.0","..","3.0",".."
86,"Ecuador","0.1","..","..","..","..","..","0.4","..","0.3","..","0.3","..","0.4","..","0.4","..","..",".."
115,"Egypt","0.2","..","0.2","..","0.2","..","0.4","..","0.5","..","0.5","..","0.6","..","0.6","..","0.7",".."
121,"El Salvador","..","..","..","..","..","..","0.1","..","0.0","..","0.0","..","0.1","..","0.1","..","0.1",".."
30,"Estonia","..","..","0.6","..","0.9","..","1.6","..","2.3","..","2.1","..","1.7","..","1.5","..","1.5",".."
173,"Ethiopia","..","..","..","..","0.2","..","0.2","..","..","..","..","..","0.6","..","..","..","..",".."
15,"Finland","2.5","..","3.3","..","3.3","..","3.7","..","3.6","..","3.4","..","3.3","..","3.2","..","2.9",".."
24,"France","2.2","..","2.1","..","2.0","..","2.2","..","2.2","..","2.2","..","2.2","..","2.2","..","2.2",".."
174,"Gambia","..","..","..","..","..","..","..","..","0.1","..","..","..","..","..","..","..","..",".."
70,"Georgia","0.3","..","0.2","..","0.2","..","..","..","..","..","..","..","0.1","..","0.2","..","0.3",".."
5,"Germany","2.1","..","2.4","..","2.4","..","2.7","..","2.8","..","2.9","..","2.8","..","2.9","..","2.9",".."
140,"Ghana","..","..","..","..","..","..","0.4","..","..","..","..","..","..","..","..","..","..",".."
31,"Greece","..","..","..","..","0.6","..","0.6","..","0.7","..","0.7","..","0.8","..","0.8","..","1.0",".."
127,"Guatemala","..","..","..","..","0.0","..","0.0","..","0.0","..","0.0","..","..","..","..","..","..",".."
133,"Honduras","..","..","0.0","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
7,"Hong Kong, China (SAR)","..","..","0.5","..","0.8","..","0.7","..","0.7","..","0.7","..","0.7","..","0.7","..","0.8",".."
45,"Hungary","0.6","..","0.8","..","0.9","..","1.1","..","1.2","..","1.3","..","1.4","..","1.4","..","1.4",".."
6,"Iceland","..","..","2.6","..","2.7","..","..","..","2.5","..","..","..","1.8","..","2.0","..","2.2",".."
130,"India","0.6","..","0.7","..","0.8","..","0.8","..","0.8","..","..","..","..","..","..","..","0.6",".."
116,"Indonesia","..","..","0.1","..","..","..","..","..","..","..","..","..","0.1","..","..","..","..",".."
60,"Iran (Islamic Republic of)","..","..","..","..","0.6","..","0.3","..","..","..","0.3","..","..","..","..","..","..",".."
120,"Iraq","..","..","..","..","..","..","0.0","..","0.0","..","..","..","..","..","0.0","..","0.0",".."
4,"Ireland","1.3","..","1.1","..","1.2","..","1.6","..","1.5","..","1.6","..","1.6","..","1.5","..","..",".."
22,"Israel","2.6","..","3.9","..","4.0","..","3.9","..","4.0","..","4.2","..","4.1","..","4.3","..","4.3",".."
28,"Italy","1.0","..","1.0","..","1.0","..","1.2","..","1.2","..","1.3","..","1.3","..","1.4","..","1.3",".."
19,"Japan","2.7","..","2.9","..","3.2","..","3.1","..","3.2","..","3.2","..","3.3","..","3.4","..","3.3",".."
58,"Kazakhstan","..","..","0.2","..","0.3","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2",".."
142,"Kenya","..","..","..","..","..","..","0.8","..","..","..","..","..","..","..","..","..","..",".."
22,"Korea (Republic of)","2.2","..","2.2","..","2.6","..","3.5","..","3.8","..","4.0","..","4.1","..","4.3","..","4.2",".."
56,"Kuwait","..","..","0.1","..","0.1","..","0.1","..","0.1","..","0.1","..","0.3","..","..","..","..",".."
122,"Kyrgyzstan","..","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2","..","0.1","..","0.1","..","0.1",".."
41,"Latvia","0.4","..","0.4","..","0.5","..","0.6","..","0.7","..","0.7","..","0.6","..","0.7","..","0.6",".."
159,"Lesotho","..","..","..","..","..","..","..","..","0.0","..","..","..","..","..","..","..","0.1",".."
35,"Lithuania","0.5","..","0.6","..","0.7","..","0.8","..","0.9","..","0.9","..","1.0","..","1.0","..","1.0",".."
21,"Luxembourg","..","..","1.6","..","1.6","..","1.5","..","1.5","..","1.3","..","1.3","..","1.3","..","1.3",".."
161,"Madagascar","..","..","0.1","..","0.2","..","0.1","..","0.1","..","..","..","..","..","0.0","..","..",".."
57,"Malaysia","0.2","..","0.5","..","..","..","1.0","..","1.0","..","1.1","..","..","..","1.3","..","1.3",".."
182,"Mali","..","..","..","..","..","..","0.6","..","..","..","..","..","..","..","..","..","..",".."
29,"Malta","..","..","..","..","0.5","..","0.6","..","0.7","..","0.8","..","0.8","..","0.7","..","0.8",".."
65,"Mauritius","..","..","0.3","..","0.4","..","..","..","..","..","0.2","..","..","..","..","..","..",".."
74,"Mexico","0.3","..","0.3","..","0.4","..","0.5","..","0.5","..","0.5","..","0.5","..","0.5","..","0.6",".."
112,"Moldova (Republic of)","0.9","..","..","..","0.4","..","0.4","..","0.4","..","0.4","..","0.4","..","0.4","..","0.4",".."
n.a,"Monaco","..","..","..","..","0.0","..","..","..","..","..","..","..","..","..","..","..","..",".."
92,"Mongolia","..","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2","..","0.2",".."
